,word,frequence
0,令狐冲,4995
1,林平之,1267
2,岳不群,1174
3,岳灵珊,883
4,仪琳,708
5,田伯光,699
6,林震南,625
7,向问天,511
8,任我行,510
9,左冷禅,470
